prompt,total_tokens,latency_ms,throughput_tokens_s,gpu_vram_mib,concurrency
10,60,180,333.3,1500,1
50,100,260,384.6,1500,1
100,150,370,405.4,1500,1
200,300,710,422.5,1510,1
300,450,1050,428.6,1510,1
50,100,280,357.1,1515,2
100,150,390,384.6,1530,2
200,300,800,375.0,1550,2
